reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Ins.started,text_3.started,key_resp_2.started,Ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,2,4,18,2,39.14241849997779,,,,,,,,,39.12880679196678,39.14241849997779,40.12871191697195,40.12871191697195,40.13571362500079,40.62183220899897,l,0.48772775003453717,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
78,80,162,2,5,19,6,40.63681733398698,,,,,,,,,40.62273816700326,40.63681733398698,41.6199652919895,41.6199652919895,41.626794416981284,42.49498037499143,t,0.8677879580063745,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
67,75,119,2,6,20,5,42.508989541966,,,,,,,,,42.49576970899943,42.508989541966,43.4954743339913,43.4954743339913,43.50288620899664,44.32801570900483,t,0.8282422499614768,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
15,35,13,3,0,21,1,44.34244504198432,,,,,,,,,44.32880949997343,44.34244504198432,45.32947937498102,45.32947937498102,45.336345416959375,45.90551037498517,l,0.5661328340065666,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
67,75,119,3,1,22,5,45.92079016700154,,,,,,,,,45.9064446669654,45.92079016700154,46.903393666958436,46.903393666958436,46.91040837496985,47.77911075000884,t,0.8723901250050403,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
11,30,7,3,2,23,0,47.794392041978426,,,,,,,,,47.77989800000796,47.794392041978426,48.778904834005516,48.778904834005516,48.78583970898762,49.27826950000599,l,0.4921329580247402,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
40,55,62,3,3,24,3,49.292287041957024,,,,,,,,,49.27904670900898,49.292287041957024,50.27922112500528,50.27922112500528,50.286343749961816,51.845137708995026,l,1.562404541997239,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
49,60,89,3,4,25,4,51.85964029200841,,,,,,,,,51.84592862497084,51.85964029200841,52.84517116699135,52.84517116699135,52.85352274996694,53.578310999961104,t,0.7310411660000682,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
78,80,162,3,5,26,6,53.592294792004395,,,,,,,,,53.579108125006314,53.592294792004395,54.578986749984324,54.578986749984324,54.58700866700383,55.38806724996539,t,0.7819669999880716,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
27,50,21,3,6,27,2,55.40407008398324,,,,,,,,,55.38902745896485,55.40407008398324,56.38697774999309,56.38697774999309,56.39392324996879,56.961828083964065,l,0.5702511249692179,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
11,30,7,4,0,28,0,56.976181917008944,,,,,,,,,56.96261108398903,56.976181917008944,57.96254949999275,57.96254949999275,57.96953508397564,58.43875462497817,l,0.46846858301432803,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
40,55,62,4,1,29,3,58.45374037500005,,,,,,,,,58.43957970896736,58.45374037500005,59.43708920897916,59.43708920897916,59.44382595899515,60.27897266700165,t,0.8399387920508161,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
